period,minute,second,duration,under_pressure,play_pattern.name,possession_team.name,player.name,position.name,shot.technique.name,shot.body_part.name,shot.outcome.name,shot.aerial_won,shot.one_on_one,shot.deflected,shot.open_goal,shot.saved_to_post,shot.saved_off_target,shot.redirect,location.x,location.y,shot.end_location.x,shot.end_location.y,shot.end_location.z,player.name.GK,location.x.GK,location.y.GK,DistToGoal,DistToKeeper,AngleToGoal,AngleToKeeper,AngleDeviation,avevelocity,DistSGK,density,density.incone,AttackersBehindBall,DefendersBehindBall,DefendersInCone,InCone.GK,DefArea,distance.ToD1.360,distance.ToD2.360,TimeInPoss,TimeToPossEnd
1,6,34,0.635129,NA,From Throw In,Norway Women's,Ada Stolsmo Hegerberg,Center Forward,Overhead Kick,Right Foot,Wayward,NA,NA,NA,NA,NA,NA,NA,106.9,33.3,116.4,33.9,NA,Victoria Esson,118.4,39.2,14.713938969562157,1.7888543819998253,62.912509385963254,63.43494882292202,0.5224394369587628,14.98739391703073,12.925169244539898,0.5093040552003913,0.2941176470588235,2,3,1,1,108.9,3.400000000000001,7.479304780526056,8.492999999999995,1.960999999999956
1,16,55,0.127373,TRUE,Regular Play,New Zealand Women's,Elizabeth Doon Hassett,Left Midfield,Normal,Head,Blocked,TRUE,NA,NA,NA,NA,NA,NA,105.7,37.3,106.6,37.4,NA,Aurora Watten Mikalsen,118.3,39.9,14.552662986546482,1.7029386365926429,79.30778784471595,86.63353933657028,7.325751491854334,7.109344317977384,12.865457628860307,2.4953662963445926,1.2403473458920888,0,3,1,1,155.56999999999962,0.8062257748298522,0.9486832980505183,10.398000000000025,3.5839999999999463
1,19,20,0.657838,NA,From Throw In,Norway Women's,Frida Maanum,Right Center Midfield,Half Volley,Right Foot,Off T,NA,NA,NA,NA,NA,NA,NA,107.7,33.9,120,43.2,6,Victoria Esson,118.4,38.6,13.729530217745978,2.1260291625469248,63.62157936648758,48.814074834290274,14.807504532197306,23.440598948488343,11.686744627996289,0.7150633539185061,0.6546511445854883,0,3,2,1,147.6800000000002,1.7888543819998317,1.9313207915827948,6.406999999999925,0.6570000000001528
1,28,14,0.132551,NA,Regular Play,Norway Women's,Ada Stolsmo Hegerberg,Center Forward,Normal,Left Foot,Blocked,NA,NA,NA,NA,NA,NA,NA,94.6,56.9,96.6,55.8,NA,Victoria Esson,118.8,41.6,30.508523399207643,2.0000000000000027,123.6379804680442,143.13010235415592,19.49212188611172,17.220107295325317,28.63092733391638,1.0068989881120824,0.4134491152973606,4,7,1,1,56.41999999999988,2.41867732448957,5.554277630799535,5.036000000000058,11.349999999999909
1,36,2,0.114899,TRUE,From Counter,Norway Women's,Ada Stolsmo Hegerberg,Center Forward,Normal,Right Foot,Blocked,NA,NA,NA,NA,NA,NA,NA,109.6,46.1,110.6,45.4,NA,Victoria Esson,118.6,42.9,12.056948204251363,3.220248437620925,120.393262645553,154.23067237566121,33.83740973010822,10.623726590948326,9.551963149007644,0.855228389098251,0.6324555320336724,2,3,1,1,58.999999999999986,1.5811388300841982,3.436568055487915,12.269999999999982,8.363000000000284
1,43,48,0.106281,TRUE,From Counter,New Zealand Women's,Hannah Wilkinson,Left Center Forward,Normal,Right Foot,Blocked,NA,NA,NA,NA,NA,NA,NA,113.3,51.4,113.8,50.6,NA,Aurora Watten Mikalsen,118.5,44.2,13.223085872821065,4.4598206241955545,149.5564243200743,160.34617594194668,10.78975162187237,8.876451230282534,8.8814413244698045,0.9578262852211522,0.9578262852211522,0,1,1,1,225.1799999999999,1.0440306508910542,8.989438247187637,9.472999999999956,0.2270000000003165
1,45,11,0.528552,TRUE,From Throw In,New Zealand Women's,Catherine Joan Bott,Right Back,Normal,Left Foot,Wayward,NA,NA,NA,NA,NA,NA,NA,106.2,57.8,103.5,1.9,NA,Aurora Watten Mikalsen,118.2,43.8,22.522877258467663,4.204759208325724,142.21426203920677,154.65382405805332,12.439562018846544,105.8839390230553,18.439088914585774,1.1935041891070206,0,2,6,0,1,88.65999999999984,1.5999999999999943,3.992492955535422,8.34100000000035,7.003999999999905
2,46,29,0.597778,TRUE,From Throw In,Norway Women's,Frida Maanum,Right Center Midfield,Normal,Head,Off T,TRUE,TRUE,NA,NA,NA,NA,NA,111.2,41.6,120,51.8,0.5,Victoria Esson,118.6,40.5,8.944271909999156,1.486606874731856,100.30484646876602,109.65382405805323,9.348977589287216,22.535876688735822,7.481310045707228,0,0,1,0,0,1,71.03999999999996,0.8246211251235369,2.19317121994613,17.93000000000029,0.5979999999999563
2,47,11,0.585874,NA,From Goal Kick,New Zealand Women's,Hannah Wilkinson,Left Center Forward,Half Volley,Right Foot,Goal,NA,NA,NA,NA,NA,NA,NA,112.7,40.8,120,41.8,1.3,Aurora Watten Mikalsen,117.3,41.3,7.343704787094859,2.9966648127543407,96.25403274391645,115.70995378081122,19.455921036894765,12.57638128320331,4.627094120503704,0,0,0,0,0,1,26.73999999999984,2.4041630560342666,2.4758836806279843,10.865999999999985,0.5860000000002401
2,51,8,0.098556,TRUE,From Counter,New Zealand Women's,Hannah Wilkinson,Left Center Forward,Half Volley,Right Foot,Blocked,NA,NA,NA,NA,NA,NA,NA,105.5,59.1,106.3,58.1,NA,Aurora Watten Mikalsen,117,44.9,23.980408670412604,5.745432968889289,142.79560202061595,148.523160650416,5.727558629800058,12.993880103561102,18.27265716856747,0.7198157507486925,0.7198157507486925,0,1,1,1,135.04999999999995,1.3892443989449843,6.675327707311449,6.011000000000422,2.7369999999996253
