"","scoring_play","score_value","shot_x","shot_y","shot_distance","shot_type"
"416",FALSE,0,5,-1,5.09901951359278,"Driving Layup Shot"
"417",TRUE,2,-1,1,1.4142135623731,"Layup Shot"
"418",FALSE,0,6,10,11.6619037896906,"Pullup Jump Shot"
"419",TRUE,2,11,1,11.0453610171873,"Turnaround Jump Shot"
"420",FALSE,0,-6,6,8.48528137423857,"Turnaround Jump Shot"
"421",FALSE,0,5,5,7.07106781186548,"Layup Shot"
"422",FALSE,0,0,19,19,"Jump Shot"
"423",FALSE,0,4,2,4.47213595499958,"Running Layup Shot"
"424",TRUE,2,7,8,10.6301458127346,"Turnaround Jump Shot"
"425",TRUE,2,3,5,5.8309518948453,"Layup Shot"
"426",FALSE,0,-23,-1,23.0217288664427,"Jump Shot"
"427",TRUE,2,3,3,4.24264068711928,"Layup Shot"
"428",FALSE,0,1,7,7.07106781186548,"Pullup Jump Shot"
"429",FALSE,0,4,5,6.40312423743285,"Hook Shot"
"430",TRUE,2,-4,13,13.6014705087354,"Jump Shot"
"431",TRUE,2,-1,7,7.07106781186548,"Turnaround Jump Shot"
"432",FALSE,0,2,4,4.47213595499958,"Layup Shot Putback"
"433",FALSE,0,-8,14,16.1245154965971,"Jump Shot"
"434",TRUE,2,-4,2,4.47213595499958,"Cutting Layup Shot"
"435",FALSE,0,11,-1,11.0453610171873,"Turnaround Fade Away Jump Shot"
"436",FALSE,0,-3,6,6.70820393249937,"Driving Layup Shot"
"437",TRUE,2,-2,13,13.1529464379659,"Pullup Jump Shot"
"438",FALSE,0,-3,2,3.60555127546399,"Cutting Layup Shot"
"439",FALSE,0,0,4,4,"Driving Layup Shot"
"440",TRUE,3,-18,20,26.9072480941474,"Jump Shot"
"441",FALSE,0,-1,9,9.05538513813742,"Pullup Jump Shot"
"442",FALSE,0,-3,11,11.4017542509914,"Pullup Jump Shot"
"443",FALSE,0,0,5,5,"Driving Layup Shot"
"444",TRUE,2,-8,2,8.24621125123532,"Jump Shot"
"445",FALSE,0,-3,1,3.16227766016838,"Driving Layup Shot"
"446",FALSE,0,5,3,5.8309518948453,"Driving Layup Shot"
"447",TRUE,2,1,8,8.06225774829855,"Pullup Jump Shot"
"448",TRUE,2,0,3,3,"Layup Shot"
"449",TRUE,3,-6,27,27.6586333718787,"Jump Shot"
"450",TRUE,2,-3,1,3.16227766016838,"Layup Shot"
"451",FALSE,0,1,8,8.06225774829855,"Turnaround Jump Shot"
"452",FALSE,0,0,16,16,"Pullup Jump Shot"
"453",FALSE,0,16,20,25.6124969497314,"Jump Shot"
"454",TRUE,2,-4,20,20.3960780543711,"Jump Shot"
"455",TRUE,2,-3,3,4.24264068711928,"Cutting Layup Shot"
"456",FALSE,0,3,4,5,"Layup Shot"
"457",TRUE,2,1,13,13.0384048104053,"Jump Shot"
"458",FALSE,0,-1,7,7.07106781186548,"Driving Layup Shot"
"459",FALSE,0,0,11,11,"Turnaround Jump Shot"
"460",FALSE,0,-11,5,12.0830459735946,"Step Back Jump Shot"
"461",TRUE,2,-10,3,10.4403065089106,"Pullup Jump Shot"
"462",TRUE,2,-9,8,12.0415945787923,"Fade Away Jump Shot"
"463",FALSE,0,3,25,25.1793566240283,"Jump Shot"
"464",TRUE,2,3,12,12.369316876853,"Pullup Jump Shot"
"465",TRUE,2,1,12,12.0415945787923,"Turnaround Jump Shot"
"466",TRUE,2,1,7,7.07106781186548,"Jump Shot"
"467",TRUE,2,-5,2,5.3851648071345,"Driving Layup Shot"
"468",FALSE,0,4,1,4.12310562561766,"Driving Layup Shot"
"469",FALSE,0,7,17,18.3847763108502,"Pullup Jump Shot"
"470",FALSE,0,4,3,5,"Driving Finger Roll Layup"
"471",TRUE,2,6,2,6.32455532033676,"Layup Shot"
"472",TRUE,2,-3,1,3.16227766016838,"Layup Shot"
"473",FALSE,0,-12,-2,12.1655250605964,"Jump Shot"
"474",FALSE,0,-4,6,7.21110255092798,"Running Jump Shot"
"475",TRUE,3,21,12,24.1867732448956,"Jump Shot"
"476",FALSE,0,-3,1,3.16227766016838,"Driving Layup Shot"
"477",FALSE,0,-7,17,18.3847763108502,"Jump Shot"
"478",TRUE,2,-4,1,4.12310562561766,"Cutting Layup Shot"
"479",TRUE,2,-2,1,2.23606797749979,"Cutting Layup Shot"
"480",TRUE,2,2,6,6.32455532033676,"Turnaround Hook Shot"
"481",FALSE,0,2,9,9.21954445729289,"Jump Shot"
"482",TRUE,2,-5,2,5.3851648071345,"Running Layup Shot"
"483",FALSE,0,2,1,2.23606797749979,"Driving Layup Shot"
"484",FALSE,0,10,7,12.2065556157337,"Turnaround Jump Shot"
"485",FALSE,0,1,4,4.12310562561766,"Layup Shot"
"486",TRUE,2,-1,8,8.06225774829855,"Fade Away Jump Shot"
