game_id,event_team,shots,avg_dist,avg_angle,goals,is_home,division
2021020034,Ottawa Senators,52,39.258974358974356,30.97948717948718,3,1,Atlantic
2021020035,New York Rangers,50,33.834210526315786,28.728947368421053,2,0,Metropolitan
2021020035,Toronto Maple Leafs,73,31.74406779661017,28.322033898305083,1,1,Atlantic
2021020036,Philadelphia Flyers,45,32.16842105263158,32.676315789473684,6,1,Metropolitan
2021020036,Seattle Kraken,40,33.890625,30.440625,1,0,Pacific
2021020037,Anaheim Ducks,47,40.25365853658536,34.89756097560976,3,0,Pacific
2021020037,Calgary Flames,75,30.182142857142857,34.20892857142857,2,1,Pacific
2021020038,Arizona Coyotes,52,36.266666666666666,27.23846153846154,4,1,Central
2021020038,St. Louis Blues,49,41.05348837209302,26.22093023255814,7,0,Central
2021020039,Buffalo Sabres,65,40.82,29.194545454545455,5,1,Atlantic
2021020039,Vancouver Canucks,44,38.13076923076923,26.315384615384616,2,0,Pacific
2021020040,Montréal Canadiens,54,42.142857142857146,36.645714285714284,0,1,Atlantic
2021020040,San Jose Sharks,43,38.65,31.21875,5,0,Pacific
2021020041,Columbus Blue Jackets,50,33.02894736842105,32.723684210526315,1,0,Metropolitan
2021020041,Detroit Red Wings,63,32.830357142857146,33.2125,4,1,Atlantic
2021020042,Florida Panthers,56,35.80731707317073,32.90975609756097,4,0,Atlantic
2021020042,Tampa Bay Lightning,52,33.51904761904762,31.754761904761903,1,1,Atlantic
2021020043,New Jersey Devils,56,31.213333333333335,25.74222222222222,4,1,Metropolitan
2021020043,Seattle Kraken,60,37.64418604651163,29.195348837209302,2,0,Pacific
2021020044,Dallas Stars,47,31.092307692307692,25.471794871794874,1,0,Central
2021020044,Pittsburgh Penguins,60,35.304545454545455,29.086363636363636,1,1,Metropolitan
2021020045,Colorado Avalanche,46,28.78,34.59142857142857,3,0,Central
2021020045,Washington Capitals,68,36.59814814814815,36.43518518518518,6,1,Metropolitan
2021020046,Chicago Blackhawks,69,31.606,33.424,1,1,Central
2021020046,New York Islanders,49,39.75675675675676,36.58108108108108,4,0,Metropolitan
2021020047,Los Angeles Kings,46,37.64705882352941,36.85294117647059,1,0,Pacific
2021020047,Nashville Predators,62,38.51590909090909,27.85,2,1,Central
2021020048,Minnesota Wild,70,34.55555555555556,31.50740740740741,6,1,Central
2021020048,Winnipeg Jets,63,36.802439024390246,29.958536585365856,5,0,Central
2021020049,Anaheim Ducks,63,36.39782608695652,34.66086956521739,5,0,Pacific
2021020049,Edmonton Oilers,61,27.253191489361704,31.146808510638298,6,1,Pacific
2021020050,Boston Bruins,72,39.583673469387755,37.638775510204084,3,0,Atlantic
2021020050,Philadelphia Flyers,48,38.736666666666665,31.75,6,1,Metropolitan
2021020051,St. Louis Blues,67,27.351063829787233,30.582978723404256,3,0,Central
2021020051,Vegas Golden Knights,64,39.207692307692305,28.20769230769231,1,1,Pacific
2021020052,Carolina Hurricanes,55,37.95227272727273,31.020454545454545,4,0,Metropolitan
2021020052,Montréal Canadiens,59,35.258974358974356,31.584615384615386,1,1,Atlantic
2021020053,Ottawa Senators,71,39.46153846153846,24.88269230769231,1,1,Atlantic
2021020053,San Jose Sharks,49,36.059375,29.959375,2,0,Pacific
2021020054,Calgary Flames,49,43.87777777777778,29.56388888888889,3,0,Pacific
2021020054,Detroit Red Wings,53,42.958695652173915,33.404347826086955,0,1,Atlantic
2021020055,Colorado Avalanche,49,35.575675675675676,31.583783783783783,1,0,Central
2021020055,Florida Panthers,66,38.46875,27.08125,4,1,Atlantic
2021020056,New Jersey Devils,52,34.19166666666666,29.48611111111111,1,1,Metropolitan
2021020056,Washington Capitals,51,31.995238095238093,30.53095238095238,4,0,Metropolitan
2021020057,Columbus Blue Jackets,56,32.37906976744186,36.246511627906976,3,1,Metropolitan
2021020057,New York Islanders,60,36.821276595744685,30.646808510638298,2,0,Metropolitan
