"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"ST","2026-05-20","85.2","-2.15","5.48","Ohtani, Shohei",592206,660271,,"foul",,,,,6,,"R","R","R","SD","LAD","S",,,1,2,2026,"1.27","0.4",0.42754720449261785,2.389911060376758,,,669369,0,5,"Bot",,,,,,,3.4125660645904716,-124.0137367315707,-1.5140697612216871,12.210985759412216,27.247606722246154,-27.963666748238822,3.329708005,1.680413386,84,"80.8",6,"85.7",2616,"6.8",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.68",,,,,,,,39,4,"Sweeper",0,3,0,3,3,0,0,3,"Standard","Standard",71,"0","0","80.5","8.1",,,"0","88.0",-3,-3,0.224,0.224,31,34,32,34,2,1,7,1,7,2,"2.76","-1.27","-1.27","29.0",21.56391770966975,-24.56361333235712,36.56098925498506,39.325272713396,43.306512303219385
"FF","2026-05-20","95.2","-2.11","5.49","Ohtani, Shohei",592206,660271,,"foul",,,,,11,,"R","R","R","SD","LAD","S",,,1,1,2026,"-0.21","1.29",-0.8513035039415819,3.2242841372358138,,,669369,0,5,"Bot",,,,,,,3.788292022166459,-138.52794011747386,-3.0546201128308623,-3.582211909026634,33.97487003163835,-15.142882176796167,3.329708005,1.680413386,,,,"95.9",2435,"6.9",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.6",,,,,,,,39,3,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",220,"-0.011","-0.053","68.2","6.1",,,"0.053",,-3,-3,0.235,0.235,31,34,32,34,2,1,7,1,7,2,"1.24","0.21","0.21","31.6",-1.3793588803329724,13.73242360226659,45.4343557117359,26.037162862145358,19.304518451308194
"ST","2026-05-20","84.1","-2.18","5.55","Ohtani, Shohei",592206,660271,,"ball",,,,,7,,"R","R","R","SD","LAD","B",,,0,1,2026,"1.22","0.25",-0.7022485768027358,1.6754879360795036,,,669369,0,5,"Bot",,,,,,,0.9151789168643205,-122.45861443862415,-2.8333867369235644,11.950670446576456,27.06582950497791,-29.264386223866772,3.329708005,1.680413386,,,,"84.4",2668,"6.7",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.81",,,,,,,,39,2,"Sweeper",0,3,0,3,3,0,0,3,"Standard","Standard",67,"0.004","0.025",,,,,"-0.025",,-3,-3,0.231,0.231,31,34,32,34,2,1,7,1,7,2,"3","-1.22","-1.22","31.0",,,,,
"ST","2026-05-20","81.5","-2.02","5.64","Ohtani, Shohei",592206,660271,,"foul",,,,,12,,"R","R","R","SD","LAD","S",,,0,0,2026,"1.03","0.23",0.476385017020608,3.4840938464804507,,,669369,0,5,"Bot",,,,,,,3.5439988778763123,-118.6083168064983,1.5759170239057305,8.91603092023124,25.16114353813425,-30.623214305075777,3.329708005,1.680413386,,,,"81.7",2425,"6.7",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.82",,,,,,,,39,1,"Sweeper",0,3,0,3,3,0,0,3,"Standard","Standard",73,"-0.006","-0.045","66.3","6.9",,,"0.045",,-3,-3,0.237,0.237,31,34,32,34,2,1,7,1,7,2,"3.23","-1.03","-1.03","33.3",10.561919398212044,6.262952835463343,32.15928135529572,42.8799523952424,23.009779243016343
"FF","2026-05-20","94.6","-2.05","5.52","Ohtani, Shohei",669369,660271,"single","hit_into_play",,,,,3,"Bryce Johnson singles on a fly ball to left fielder Teoscar Hernández.","R","L","R","SD","LAD","X",7,"fly_ball",2,1,2026,"-0.24","1.29",0.31817154269529113,3.1577418728489697,,,,0,5,"Bot",105.81,112.69,,,,,6.683957195631402,-137.62933998918254,-3.216745146790369,-4.573571758083508,32.283985202944656,-15.281681393792251,3.185777559,1.607775591,224,"70.1",32,"95.2",2401,"6.8",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.72",0.82,0.75,"0.9",1,1,0,4,38,4,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",216,"0.04","0.402","62.9","6.1",,0.878,"-0.402","88.0",-3,-3,0.197,0.197,31,30,32,31,2,0,7,6,7,2,"1.27","0.24","-0.24","30.7",4.279127106084309,14.921883454333377,32.93682155535946,28.752106867995572,24.78254793973712
"FF","2026-05-20","95.7","-2.18","5.54","Ohtani, Shohei",669369,660271,,"ball",,,,,11,,"R","L","R","SD","LAD","B",,,1,1,2026,"-0.16","1.14",-0.9824134750334765,3.3757485780876353,,,,0,5,"Bot",,,,,,,3.516037230490471,-139.36800503550094,-2.530646977124145,-2.9373668783784845,33.68127511497192,-17.008006877590596,3.185777559,1.607775591,,,,"96.2",2413,"6.7",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.81",,,,,,,,38,3,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",216,"0.006","0.063",,,,,"-0.063",,-3,-3,0.191,0.191,31,30,32,31,2,0,7,6,7,2,"1.36","0.16","-0.16","31.0",,,,,
"ST","2026-05-20","82.6","-1.94","5.61","Ohtani, Shohei",669369,660271,,"swinging_strike",,,,,14,,"R","L","R","SD","LAD","S",,,1,0,2026,"1.06","0.46",0.7055589892603713,0.4601670822822985,,,,0,5,"Bot",,,,,,,3.869293734990846,-120.154432267185,-5.847395645149368,9.416070425129318,25.12583175395769,-26.73360768960859,3.185777559,1.607775591,,,,"82.9",2455,"6.7",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.82",,,,,,,,38,2,"Sweeper",0,3,0,3,3,0,0,3,"Standard","Standard",57,"-0.006","-0.057","63.7","9.4","13.605348516",,"0.057",,-3,-3,0.197,0.197,31,30,32,31,2,0,7,6,7,2,"2.9","-1.06","1.06","32.0",38.24480969765711,-55.42645434406934,44.80672810368974,28.08290000625469,62.966603772600095
"ST","2026-05-20","81.6","-2.06","5.63","Ohtani, Shohei",669369,660271,,"ball",,,,,14,,"R","L","R","SD","LAD","B",,,0,0,2026,"1.2","0.4",1.2811882609605625,1.7504507313790643,,,,0,5,"Bot",,,,,,,5.084381466873734,-118.64072624486502,-2.630229714517248,10.200288607611908,24.880842157778073,-28.147245412634998,3.185777559,1.607775591,,,,"81.9",2447,"6.7",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.77",,,,,,,,38,1,"Sweeper",0,3,0,3,3,0,0,3,"Standard","Standard",67,"0.005","0.044",,,,,"-0.044",,-3,-3,0.192,0.192,31,30,32,31,2,0,7,6,7,2,"3.06","-1.2","1.2","31.5",,,,,
"FF","2026-05-20","97.5","-2.02","5.45","Ohtani, Shohei",593428,660271,"field_out","hit_into_play",,,,,3,"Xander Bogaerts flies out to center fielder Andy Pages.","R","R","R","SD","LAD","X",8,"fly_ball",3,1,2026,"-0.17","1.03",0.5014223343840885,2.8790681007535426,,609280,657757,2,4,"Bot",111.82,53.48,,,,,7.159346046406496,-141.84992360431804,-3.6268749032389715,-3.9589519316699673,33.304092191390886,-17.676062472335342,3.284949147,1.657824803,361,"98.5",25,"98.3",2452,"6.8",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.71",0.397,0.578,"0",1,0,0,5,32,5,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard",199,"-0.073","-0.354","76.2","7.4",,0.992,"0.354","98.5",-2,-2,0.322,0.322,31,33,32,34,2,1,7,1,7,2,"1.38","0.17","0.17","31.1",9.125576069765708,0.20570310445285866,26.089304689760553,41.674739803190214,32.94407093829305
"FF","2026-05-20","98.5","-2","5.52","Ohtani, Shohei",593428,660271,,"ball",,,,,14,,"R","R","R","SD","LAD","B",,,2,1,2026,"-0.16","0.98",1.2725664392817226,1.8513543046928804,,609280,657757,2,4,"Bot",,,,,,,9.213588565164317,-143.0911076490983,-6.606455671259214,-4.408793128357784,34.014289184193636,-17.377965851591593,3.284949147,1.657824803,,,,"99.1",2792,"6.8",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.69",,,,,,,,32,4,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard",196,"0.013","0.055",,,,,"-0.055",,-2,-2,0.309,0.309,31,33,32,34,2,1,7,1,7,2,"1.39","0.16","0.16","35.7",,,,,
