scoring_play,score_value,shot_x,shot_y,shot_distance,shot_type
TRUE,3,-15,21,25.80697580112788,Step Back Jump Shot
FALSE,0,11,27,29.154759474226502,Pullup Jump Shot
FALSE,0,21,21,29.698484809834994,Step Back Jump Shot
FALSE,0,-9,24,25.632011235952593,Pullup Jump Shot
TRUE,3,23,12,25.942243542145693,Step Back Jump Shot
FALSE,0,-9,27,28.460498941515414,Pullup Jump Shot
TRUE,2,0,6,6,Driving Floating Jump Shot
FALSE,0,1,-1,1.4142135623730951,Driving Finger Roll Layup
FALSE,0,0,30,30,Pullup Jump Shot
TRUE,3,-15,28,31.76476034853718,Jump Shot
TRUE,3,-23,8,24.351591323771842,Jump Shot
FALSE,0,-1,30,30.01666203960727,Running Pullup Jump Shot
TRUE,2,-7,6,9.219544457292887,Driving Jump Shot Bank
FALSE,0,-18,26,31.622776601683793,Running Pullup Jump Shot
FALSE,0,-11,25,27.313000567495326,Step Back Jump Shot
TRUE,2,-15,12,19.209372712298546,Pullup Jump Shot
FALSE,0,1,29,29.017236257093817,Pullup Jump Shot
FALSE,0,-2,8,8.246211251235321,Driving Floating Bank Jump Shot
FALSE,0,7,30,30.805843601498726,Pullup Jump Shot
FALSE,0,-15,25,29.154759474226502,Pullup Jump Shot
TRUE,2,9,16,18.35755975068582,Step Back Jump Shot
TRUE,3,17,20,26.248809496813376,Pullup Jump Shot
FALSE,0,-19,19,26.870057685088806,Step Back Jump Shot
TRUE,3,-3,30,30.14962686336267,Pullup Jump Shot
TRUE,2,2,5,5.385164807134504,Driving Floating Jump Shot
TRUE,2,-13,9,15.811388300841896,Driving Floating Jump Shot
FALSE,0,-20,25,32.01562118716424,Jump Shot
TRUE,3,-21,18,27.65863337187866,Jump Shot
FALSE,0,11,11,15.556349186104045,Turnaround Fade Away Jump Shot
FALSE,0,-13,5,13.92838827718412,Step Back Jump Shot
FALSE,0,1,20,20.024984394500787,Step Back Jump Shot
TRUE,3,6,28,28.635642126552707,Running Pullup Jump Shot
