is_hr,launch_angle,launch_speed,bat_speed,swing_length,attack_angle,swing_path_tilt,plate_x,plate_z,inning,balls,strikes,is_stand_left,is_throw_left
0,23,101.4,68.4,7.7,7.620097533532079,44.69169857170701,0.32,2.03,7,1,1,1,0
0,-9,98.9,70.9,6.5,0.4292073606904019,39.13837150724767,-0.14,1.75,7,2,2,1,0
0,-12,102.5,68.9,7.3,5.701199358813517,25.49039124636005,0.85,1.92,6,3,2,0,1
0,18,80.4,67.3,7.4,1.6957581364755936,26.395919130140967,-0.98,2.07,6,1,0,1,0
0,59,73.7,72.3,8,13.076253880393546,18.95885985759177,1.01,2.35,6,1,1,0,0
0,46,98.4,78.1,7.3,-0.2923411997408267,23.810279488050472,0.33,2.33,5,0,0,0,1
0,18,96.4,69.4,6.8,-11.582623940833454,19.71876221135197,0.91,2.38,5,2,2,0,1
0,40,95.7,67.8,7.8,6.924994958832104,41.102833710780864,0.09,2.05,5,0,1,1,0
0,23,94.2,68.4,7.9,18.46145043310377,25.143240988253996,0.32,2.74,5,0,0,0,0
0,30,85.4,74,8.4,13.194796439102625,21.53820703986529,0.69,2.24,4,0,2,0,1
0,22,92.9,60.8,6.2,4.101829531757488,23.515121178493377,0.11,3.22,4,0,1,0,1
0,34,101.9,70.9,7.4,14.499989630100371,24.557773616478123,-0.14,3.46,4,0,1,0,0
0,-14,76.8,69.2,7.8,10.082910416921704,27.60460812397804,-0.9,1.97,4,0,2,1,0
0,35,99,69.3,7.5,11.024478835287988,29.135377447429786,0.58,3.03,4,2,2,0,0
0,8,80.9,78,6.9,0.3212640454779144,18.396272506015244,-0.39,2.96,4,2,1,0,0
0,-1,82.3,69.1,7.6,0.1706825360350862,22.85380268477965,1.11,2.32,3,0,0,0,1
0,62,72.3,77,6.7,12.137704799378074,28.53088466297139,-0.35,2.87,3,0,0,0,1
0,1,93.1,62.9,6.2,-4.639457951704731,32.691657568971344,-0.31,3.2,3,1,1,1,0
0,30,79.6,68.5,8,13.285001491955036,28.220003901871603,0.13,2.12,2,2,1,0,1
0,4,88.8,75.4,8,13.84391732837579,27.704804189456805,0.33,2.14,2,0,2,0,0
0,12,98,78,7.4,13.465270937924432,26.84562731565813,0.75,2.98,2,1,1,0,0
0,36,91.4,71.9,6.5,2.302926428290327,29.744594465498185,0.22,2.81,1,1,2,0,1
0,13,100.5,73.4,6.9,5.352989127250665,27.94025444375041,-0.05,2.24,1,1,1,0,1
0,29,94.3,67.4,6.7,10.700498702438331,35.926473524385464,-0.11,2.26,1,2,1,0,0
0,13,103.9,70.5,7.4,-0.49937299320782,46.981834606447336,0.05,2.48,1,1,0,1,0
0,13,101.7,75.2,7.1,12.667914264138158,25.417134333530605,0.23,2.77,1,2,2,0,0
0,15,96,66.5,6.3,4.448629276471719,30.95378705834681,-0.14,2.17,9,2,2,1,0
0,43,87,66.5,7.2,19.721615040595424,27.938655428393552,0.29,2.3,9,1,2,0,0
0,-38,80.1,70.2,7,6.635018946783865,29.65756956236809,0.54,2.51,8,3,2,0,0
0,1,79,70,7.8,15.22255159405202,35.369559377291374,0.46,1.78,8,1,1,0,0
0,61,67,71.9,6.9,17.86904593765772,33.286534467148726,0.74,3.02,8,0,2,1,0
0,39,85.7,74.3,6.6,0.4950511738211991,31.165986106834808,-0.26,2.5,8,1,1,0,0
0,19,72.2,66,7,2.162681225037293,37.159494356508574,0.51,2.36,8,0,0,1,0
0,-27,74.8,70.6,6.5,-2.5919916508420693,39.02802208131055,0.18,2.1,8,2,2,1,0
0,24,87.4,66,6.5,2.739310984783889,32.94969625338312,-0.08,3.01,8,0,0,1,0
0,-25,84.9,68.9,6.7,3.234268581832699,26.338086064317167,-1.32,2.17,8,1,0,0,0
0,-23,83.7,70.2,8.4,11.999060592536209,33.68093968742204,-0.51,1.85,8,1,2,1,0
0,33,98.7,74.2,7.4,5.562643254012399,33.691119330555175,-0.08,2.21,7,0,0,1,0
0,7,88.3,67.9,7.1,12.0839740521596,33.52185759081652,0.69,2.16,6,0,0,0,1
0,15,75.2,74,7.2,0.5398758030681442,36.63261673702801,-0.55,2.12,6,2,1,0,1
0,-4,86.2,62.3,7.7,2.811624758921981,29.886439323177843,0.43,1.78,6,2,2,0,0
0,7,80.6,69.1,6.7,7.954732230746817,27.22617715742232,-0.52,2.41,6,2,0,1,0
0,39,96,69.3,6.3,15.526371093458057,22.167067898107423,-0.27,3.32,6,1,1,0,0
0,-69,53,73.2,7.7,21.648492968134224,42.24248886005437,-0.56,1.34,5,0,1,0,1
0,-5,82.7,67.8,7.1,11.660477204784518,33.52477204294309,0.77,1.91,5,1,2,0,1
0,8,90.1,66.8,7,-6.23571126963469,34.7295046195081,0.86,1.91,5,2,2,0,1
0,83,58.1,65.5,6.5,10.625831838558392,21.01873300458944,-1.38,3.31,5,0,0,0,0
0,22,92.8,64.1,8,14.70162362240615,33.069754584916474,0.67,1.66,5,1,2,0,0
0,14,100.7,68.8,6.4,3.226105453238726,29.26945360284399,0.68,2.75,4,1,2,0,1
0,27,100.6,71.2,7.2,8.428672053664744,33.62479957666572,-0.13,1.99,4,0,2,0,1
0,19,80.6,70.5,7.5,7.119688675979727,28.030800460705677,-0.64,2.41,4,3,1,1,1
0,44,100.3,72.6,7.7,15.306259902607277,39.46347160134787,-0.29,2.51,4,0,1,0,0
0,29,102.6,70.5,7.2,7.454322807021207,27.645576165678246,-0.11,3.12,4,0,0,1,0
0,36,83.7,67.7,6,0.1590776797758983,23.072100085406223,0.2,3.44,3,3,2,0,1
0,-8,87.7,70.1,7.1,12.997731338919165,36.76514627630793,-0.55,1.74,3,2,2,0,1
0,23,94.2,66.4,7.5,13.40807501328323,29.77585041635029,0.1,1.82,3,0,2,0,0
0,50,83.7,70.2,7.8,9.01408834134598,30.776235146585893,-0.03,2.21,2,0,1,0,1
0,35,85.4,70.4,7.5,6.623733041600225,21.15734801975183,0.33,2.27,2,1,1,0,0
0,-9,74.4,70.9,7.5,19.648097148049352,33.4645811794495,0.47,1.83,1,3,2,0,1
0,53,59.8,70.7,7.5,11.324586437068978,30.00098012298119,-0.86,2.51,1,2,1,0,1
0,7,111.5,77.1,7,-9.11595527622566,34.61604949744669,0.23,2.53,1,0,0,0,1
0,37,77.7,68.3,6.9,9.834883035777946,36.07616709228731,-0.57,3.15,1,0,0,0,1
0,38,65,66.8,6.3,16.63606943858576,19.14824575987122,-0.12,3.44,1,2,1,1,1
0,-3,93.8,63.8,6.2,3.669640069640163,24.455808947007498,-0.67,3.34,9,1,2,1,0
0,-31,62.4,73,7.7,25.02473265073365,31.03158563375502,0.2,2.43,9,0,0,0,0
0,22,93.1,68,6.8,-2.1215439851808275,24.82858937367137,-0.57,2.18,9,2,2,1,0
0,47,91.3,63.3,6.9,11.541247861001311,28.86867253325805,-0.79,3.07,8,0,2,1,0
0,12,104,72.7,7.1,5.493514734971726,27.414439644249036,-0.84,2.28,8,2,1,1,0
0,79,73.1,75.4,7.8,15.174491764660267,34.409726374044794,-0.39,1.99,8,2,1,1,0
0,46,77.2,59.3,6.4,9.140064224942588,27.082899545866585,-0.95,2.5,8,3,2,1,0
0,8,102.3,75.4,8.1,19.22052600353174,35.74691856459631,-0.21,2.11,8,2,1,0,0
0,31,97,72.1,6.7,12.650071470426514,35.306536161729134,-0.02,2.58,7,0,0,1,0
0,11,110,77.6,7.4,9.079604154731026,33.203907879984584,-0.12,1.8,7,3,2,0,0
0,-1,104.6,75.3,6.7,9.707957560853345,30.223895587975573,-0.21,2.25,7,3,2,1,0
