"","possession_team_name","player_name","position_name","player_name_gk","period","minute","second","duration","under_pressure","play_pattern_name","shot_technique_name","shot_body_part_name","shot_outcome_name","location_x","location_y","location_x_gk","location_y_gk","dist_to_goal","dist_to_keeper","angle_to_goal","angle_to_keeper","angle_deviation","avevelocity","dist_sgk","density_incone","attackers_behind_ball","defenders_behind_ball","defenders_in_cone","in_cone_gk","time_in_poss","time_to_poss_end","goal","xg_glm"
"109","Brazil","Carlos Henrique Casimiro","Left Defensive Midfield","Vanja Milinković Savić",2,76,48,0.11998,TRUE,"Regular Play","Normal","Right Foot","Blocked",86.3,31.2,118.2,38.7,34.8300157909812,2.22036033111745,75.3652847797224,54.1623470457217,21.2029377340006,7.68423442014748,32.7698031730433,0.86909047645778,5,7,3,1,14.7979999999998,0.194999999999709,"0",0.00554053354312095
"110","Brazil","Carlos Henrique Casimiro","Left Defensive Midfield","Vanja Milinković Savić",2,80,52,1.048684,FALSE,"Regular Play","Normal","Right Foot","Post",98.1,35.2,118.4,40.1,22.4198572698401,1.60312195418813,77.6375075842857,93.5763343749974,15.9388267907117,22.2005132017488,20.8830074462468,0.101908264743822,5,6,1,1,10.8059999999996,69.4679999999998,"0",0.0438959969135663
"111","Brazil","Rodrygo Silva de Goes","Center Attacking Midfield","Vanja Milinković Savić",2,81,32,0.763501,FALSE,"Regular Play","Normal","Right Foot","Saved",98.8,27.3,117.5,38.4,24.7129520697144,2.96816441593117,59.0760045854251,57.3807569288072,1.69524765661794,29.5726542239429,21.7462640469576,0,3,7,0,1,51.201,29.0729999999994,"0",0.060513337574392
"112","Brazil","Frederico Rodrigues Santos","Right Defensive Midfield","Vanja Milinković Savić",2,82,32,0.584935,FALSE,"Regular Play","Normal","Left Foot","Saved",95.6,43.5,113.9,40.4,24.6497464490002,6.11310068623116,98.162974283718,93.7517290705259,4.41124521319207,31.0609799815595,18.5607111932706,0,4,3,0,1,7.32200000000012,25.6019999999999,"0",0.0361175184264978
"113","Brazil","Rodrygo Silva de Goes","Center Attacking Midfield","Vanja Milinković Savić",2,86,7,0.91746,FALSE,"Regular Play","Normal","Right Foot","Off T",101.5,30.6,118.3,39,20.7511445467473,1.9723082923316,63.0645071344116,59.5344550805402,3.53005205387146,24.3969793429801,18.7829710109982,0.145003697641435,2,7,1,1,70.1330000000007,51.8130000000001,"0",0.0676935774367104
"114","Brazil","Antony Matheus dos Santos","Right Wing","Vanja Milinković Savić",2,87,49,1.208378,FALSE,"Regular Play","Normal","Left Foot","Off T",99.4,59.1,118.9,40.2,28.0921697275237,1.11803398874989,132.836201334731,100.304846468766,32.5313548659646,25.7995689339274,27.1562147583201,0,4,5,0,1,12.107,1.20799999999963,"0",0.0375478156171839
"115","Serbia","Nemanja Radonjić","Left Wing Back","Alisson Ramsés Becker",2,97,3,0.246862,TRUE,"From Free Kick","Normal","Right Foot","Blocked",93.8,21.5,116.5,39.9,32.0731975331428,3.50142828000232,54.7738221083604,88.3634229583833,33.5896008500229,28.8748910519995,29.2207118325341,0.207860393421667,4,8,2,1,38.7129999999997,4.96500000000015,"0",0.0328154340908831
"116","Serbia","Aleksandar Mitrović","Center Forward","Devis Rogers Epassy Mboka",1,5,38,1.094513,FALSE,"Regular Play","Normal","Head","Off T",110.4,33,118,37.8,11.8810773922233,2.9732137494637,53.901716032892,42.2736890060937,11.6280270267983,9.50194287322306,8.98888202169769,0,0,2,0,1,33.643,1.09399999999999,"0",0.189677186284107
"117","Serbia","Aleksandar Mitrović","Center Forward","Devis Rogers Epassy Mboka",1,10,2,0.738866,FALSE,"Regular Play","Normal","Left Foot","Post",114.4,54.2,118.6,43.7,15.2643375224737,3.9560080889705,158.477399892093,159.274441134439,0.797041242346467,25.6426789637576,11.3088460949825,0,0,2,0,1,14.043,12.78,"0",0.288794970607061
"118","Serbia","Filip Kostić","Left Wing Back","Devis Rogers Epassy Mboka",1,10,14,0.570053,FALSE,"Regular Play","Normal","Left Foot","Off T",108.2,21.4,117.9,36.8,22.0272558436134,3.82753184180093,32.3913932066338,33.2748879848348,0.883494778201062,31.0591583907515,18.2002747232013,0,1,4,0,1,26.253,0.569999999999936,"0",0.189263693575716
"119","Cameroon","Nicolas Alexis Julio N'Koulou Ndoubena","Left Center Back","Vanja Milinković Savić",1,15,11,1.55122,FALSE,"From Free Kick","Normal","Left Foot","Off T",95.9,33.9,116.9,40.5,24.860008045051,3.14006369362151,75.796062046486,99.1623470457217,23.3662849992357,17.9350542970968,22.012723593413,0.139726960836259,3,6,1,1,8.45699999999999,1.55100000000004,"0",0.0348316301615159
"120","Serbia","Aleksandar Mitrović","Center Forward","Devis Rogers Epassy Mboka",1,16,22,0.43822,TRUE,"From Throw In","Half Volley","Right Foot","Off T",108.9,38.6,116.4,39.1,11.1879399354841,3.71079506305589,82.8114628572634,75.9637565320735,6.84770632518986,26.4913700772799,7.51664818918645,0.686802819743449,1,5,1,1,6.61000000000001,0.439000000000078,"0",0.0878214235186398
"121","Cameroon","Pierre Kunde Malong","Left Center Midfield","Vanja Milinković Savić",1,18,37,0.527488,FALSE,"Regular Play","Half Volley","Right Foot","Saved",108.1,60.1,118,44.2,23.3585102264678,4.65188133984521,149.372778684462,154.536654938128,5.16387625366656,35.0724002599037,18.7301895345456,0,0,0,0,1,21.0600000000002,0.527999999999793,"0",0.132812101639505
"122","Cameroon","Pierre Kunde Malong","Left Center Midfield","Vanja Milinković Savić",1,19,31,0.484119,FALSE,"From Corner","Normal","Right Foot","Blocked",96.8,50.1,118.2,42,25.30316185776,2.69072480941474,113.525651608151,138.012787504183,24.4871358960323,25.7837176234016,22.8816520382598,0.417043344095191,8,10,4,1,4.30999999999995,0.547000000000025,"0",0.0133266497822805
"123","Cameroon","Nicolas Alexis Julio N'Koulou Ndoubena","Left Center Back","Vanja Milinković Savić",1,28,6,0.195383,FALSE,"From Corner","Normal","Head","Blocked",115.2,33.5,118.5,38.2,8.0802227692063,2.34307490277199,36.4444417565871,39.8055710922652,3.36112933567815,8.09250973771609,5.74282160614449,0.836688618369778,3,5,2,1,1.09399999999982,92.142,"0",0.0954204337816445
"124","Cameroon","Jean-Charles Castelletto","Right Center Back","Vanja Milinković Savić",1,28,7,0.1315,FALSE,"From Corner","Volley","Right Foot","Goal",118.5,43.2,119,37.9,3.53411940941446,2.3259406699226,154.885165113855,25.4633450618716,129.421820051984,11.632744137474,5.32353266168247,0,0,0,0,1,1.81999999999994,91.4159999999999,"1",0.282691079675622
"125","Serbia","Strahinja Pavlović","Left Center Back","Devis Rogers Epassy Mboka",1,45,22,0.83453,FALSE,"From Free Kick","Normal","Head","Goal",110.7,42.8,118,41,9.71236325515062,2.23606797749979,106.755748929199,116.565051177078,9.80930224787899,13.5961140482718,7.51864349467375,0,2,4,0,1,1.85400000000027,0.833999999999833,"1",0.195684612383454
"126","Serbia","Sergej Milinković-Savić","Left Attacking Midfield","Devis Rogers Epassy Mboka",1,47,52,0.845537,FALSE,"From Throw In","Normal","Left Foot","Goal",99.6,46.7,116.3,41.4,21.4720748880959,3.9560080889705,108.181802696149,110.725558865561,2.54375616941189,24.499474064362,17.5208447284941,0.210351580955835,4,7,1,1,14.1200000000003,42.7979999999998,"1",0.0375779669890632
